"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_011E","S1903_C01_011M","S1903_C02_011E","S1903_C02_011M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US01","Alabama","1851061","5444","44758","314","70.7","0.1","51345","262","25.8","0.1","30180","312","0.5","0.1","45214","4748","1.0","0.1","59063","4031","0.0","0.1","49943","15505","0.8","0.1","33676","3131","1.2","0.1","38469","2401","2.6","0.1","35669","1664","69.0","0.1","51684","266","4.1","0.1","21303","707","31.2","0.1","49004","655","39.1","0.1","53381","552","25.5","0.1","35134","280","1232880","5064","56828","414","40.1","0.2","52927","791","59.9","0.2","59000","446","71.3","0.3","70945","487","22.4","0.3","26024","368","6.4","0.1","38823","909","618181","4084","25046","273","54.4","0.4","21691","282","48.9","0.4","20424","280","5.5","0.2","38757","1379","45.6","0.4","30192","465","38.4","0.4","27274","445","7.2","0.2","44838","1468","34.6","(X)","(X)","(X)","35.2","(X)","(X)","(X)","32.2","(X)","(X)","(X)",
"0400000US02","Alaska","250235","1399","74444","809","74.2","0.4","81971","1045","3.3","0.2","53800","4163","11.3","0.3","46222","1983","4.2","0.2","67362","4488","0.8","0.1","49375","9456","1.0","0.1","57929","7684","5.2","0.3","59988","3421","5.2","0.3","61954","5620","71.1","0.4","82574","966","5.2","0.3","42551","2094","36.4","0.4","75858","1382","42.2","0.4","86720","1689","16.2","0.3","56196","2245","166629","1645","87365","1180","47.8","0.6","78591","2111","52.2","0.6","95030","1340","74.8","0.7","101264","1440","16.4","0.6","43775","1996","8.7","0.4","60171","3371","83606","1560","47586","1433","43.5","0.9","42153","1187","34.1","0.9","36489","1519","9.4","0.6","77268","4712","56.5","0.9","52156","1710","42.8","1.0","43495","1692","13.7","0.7","84657","4023","29.4","(X)","(X)","(X)","30.3","(X)","(X)","(X)","24.8","(X)","(X)","(X)",
"0400000US04","Arizona","2448919","7179","51340","231","82.7","0.1","53286","314","4.1","0.1","39991","978","3.3","0.1","32267","905","2.7","0.1","68360","1833","0.1","0.1","49481","6452","5.1","0.1","38994","965","2.0","0.1","47767","1655","22.3","0.1","40523","416","66.5","0.1","57003","330","4.6","0.1","26658","548","32.5","0.1","55493","453","36.6","0.1","60784","500","26.3","0.1","41653","302","1602188","7978","61001","314","42.3","0.2","55776","517","57.7","0.2","64399","350","72.4","0.3","73245","418","19.3","0.2","32950","504","8.3","0.1","43136","1039","846731","5182","33026","342","51.2","0.3","30198","309","42.1","0.3","26710","300","9.2","0.2","52088","1182","48.8","0.3","36827","515","37.0","0.3","31527","368","11.7","0.3","60143","1102","33.7","(X)","(X)","(X)","34.4","(X)","(X)","(X)","30.5","(X)","(X)","(X)",
"0400000US05","Arkansas","1141480","3883","42336","234","80.1","0.2","45920","319","15.0","0.1","28004","750","0.6","0.1","35885","3769","1.1","0.1","62860","3136","0.1","0.1","32500","19873","1.5","0.1","35279","1907","1.6","0.1","36212","2612","4.7","0.1","35834","1064","77.1","0.2","46411","318","5.1","0.1","23547","992","31.8","0.2","47339","628","37.5","0.2","49835","590","25.6","0.1","33291","427","757729","4686","53123","436","41.5","0.4","49765","743","58.5","0.4","55178","439","73.5","0.4","63933","472","19.7","0.3","25790","540","6.7","0.2","36719","914","383751","3659","24202","316","52.9","0.5","21187","360","46.6","0.5","19592","356","6.3","0.3","37243","1959","47.1","0.5","28348","613","38.2","0.5","25461","453","8.9","0.3","44416","2167","31.3","(X)","(X)","(X)","31.8","(X)","(X)","(X)","29.0","(X)","(X)","(X)",
"0400000US06","California","12807387","18852","63783","188","66.6","0.1","66879","238","6.4","0.1","44192","499","0.7","0.1","46894","1406","13.1","0.1","81899","366","0.3","0.1","63938","2674","9.8","0.1","46692","246","3.1","0.1","62230","640","28.5","0.1","49134","243","49.3","0.1","75097","248","3.2","0.1","30785","374","34.9","0.1","66979","322","39.7","0.1","76370","299","22.2","0.1","46749","187","8800019","24923","72952","283","45.8","0.1","66485","448","54.2","0.1","77674","288","71.7","0.2","89326","333","19.6","0.1","37960","270","8.7","0.1","49885","466","4007368","10748","41858","154","52.7","0.2","36558","205","42.3","0.2","30887","170","10.4","0.1","68455","771","47.3","0.2","48920","395","34.3","0.1","40425","237","13.0","0.1","75870","823","33.3","(X)","(X)","(X)","33.9","(X)","(X)","(X)","29.2","(X)","(X)","(X)",
"0400000US08","Colorado","2051616","4112","62520","287","87.5","0.1","64928","314","3.7","0.1","44366","1067","0.8","0.1","40784","1352","2.5","0.1","67601","2261","0.1","0.1","55765","5294","3.2","0.1","41141","1118","2.2","0.1","52705","1434","15.6","0.1","44802","707","76.1","0.1","68501","375","4.9","0.1","30110","744","36.1","0.1","67250","553","38.5","0.1","75527","488","20.5","0.1","46019","512","1318973","4407","77130","362","45.4","0.2","74066","593","54.6","0.2","79467","440","77.3","0.3","89035","474","15.6","0.2","37870","825","7.1","0.2","52256","1126","732643","3968","39418","388","50.8","0.3","35335","432","40.7","0.3","30771","362","10.1","0.2","61036","1352","49.2","0.3","43410","561","36.2","0.3","36881","381","13.0","0.3","67197","1453","29.2","(X)","(X)","(X)","29.5","(X)","(X)","(X)","27.2","(X)","(X)","(X)",
"0400000US09","Connecticut","1354713","3509","71755","473","80.9","0.2","77878","595","9.6","0.1","43732","999","0.2","0.1","44952","6384","3.6","0.1","91606","2097","0.0","0.1","50577","13642","3.9","0.1","37379","1390","1.7","0.1","54310","2627","11.7","0.1","42068","780","74.0","0.1","81354","514","2.4","0.1","31977","1971","29.8","0.2","74770","912","42.9","0.2","90168","872","25.0","0.1","47465","634","894413","4487","91274","746","42.9","0.3","89666","1412","57.1","0.3","92335","790","73.9","0.4","109657","743","19.4","0.3","41073","860","6.7","0.2","61087","1469","460300","3192","40537","335","55.5","0.5","35039","511","47.5","0.4","30424","434","8.0","0.2","74881","2164","44.5","0.5","47246","653","34.8","0.4","40786","561","9.7","0.3","78804","3422","32.5","(X)","(X)","(X)","33.3","(X)","(X)","(X)","29.4","(X)","(X)","(X)",
"0400000US10","Delaware","348051","1568","61017","723","73.4","0.3","65009","825","19.9","0.3","47450","1560","0.4","0.1","45170","7767","3.2","0.1","87520","6403","0.0","0.1","51250","50988","1.6","0.2","40058","5268","1.5","0.1","44849","9173","6.2","0.2","44835","2981","69.3","0.3","66238","740","2.8","0.2","32246","2176","30.2","0.3","65357","1438","40.3","0.4","73576","1390","26.7","0.3","45931","809","232569","1734","73831","1124","38.7","0.6","71892","2088","61.3","0.6","74838","1088","72.2","0.6","87936","1241","20.8","0.5","39346","1782","7.0","0.3","52014","1792","115482","1872","37383","709","55.5","1.0","32953","1072","47.0","1.0","30094","944","8.5","0.5","59418","4737","44.5","1.0","43102","1365","33.9","0.9","37688","1497","10.6","0.6","70024","5556","35.1","(X)","(X)","(X)","35.5","(X)","(X)","(X)","32.7","(X)","(X)","(X)",
"0400000US11","District of Columbia","276546","1294","72935","1164","45.2","0.4","119564","2402","45.0","0.4","40560","924","0.3","0.1","51306","26917","3.8","0.2","91453","4719","0.0","0.1","-","**","3.3","0.2","48047","4402","2.3","0.2","83243","6679","8.6","0.3","60848","4911","40.9","0.4","122593","2242","4.3","0.2","31818","2838","45.2","0.3","86812","1686","32.0","0.4","73520","2217","18.5","0.2","48747","2107","121101","1688","89023","2918","43.3","0.8","70991","3656","56.7","0.8","100632","2964","56.7","0.8","150788","2908","35.0","0.7","35846","1263","8.3","0.6","54754","3603","155445","1911","62581","1244","54.4","0.6","56660","1807","43.8","0.7","47089","2033","10.6","0.5","108588","4415","45.6","0.6","70180","2336","33.4","0.8","54040","2420","12.2","0.6","130448","4676","31.7","(X)","(X)","(X)","35.4","(X)","(X)","(X)","27.8","(X)","(X)","(X)",
